time,location,previous time,previous location,distance,period,hit time,hit location,accuracy error,timing error
1202206195,093342ecb93bd5b2543b19de9d35b468,20151228,Mod.HardRock|Hidden,300: #345,100: #10,50: #0,miss: #0,Circle Size: 5,Overall Difficulty: 7
6023,"(200, 32)",6023,"(200, 32)",0.0,0,5998,"(198.5, 35.0)",3.3541019662496847,-25
6896,"(256, 64)",6720.674418604652,"(200, 32)",64.4980619863884,175.3255813953483,6891,"(240.0, 69.5)",16.91892431568863,-5
7070,"(312, 32)",6896,"(256, 64)",64.4980619863884,174,7074,"(305.5, 27.0)",8.200609733428362,4
7244,"(368, 64)",7070,"(312, 32)",64.4980619863884,174,7251,"(377.0, 64.0)",9.0,7
7419,"(288, 144)",7244,"(368, 64)",113.13708498984761,175,7446,"(277.0, 150.5)",12.776932339180638,27
8292,"(232, 176)",8116.674418604652,"(288, 144)",64.4980619863884,175.3255813953483,8289,"(240.5, 165.0)",13.901438774457844,-3
8466,"(176, 144)",8292,"(232, 176)",64.4980619863884,174,8472,"(178.0, 140.5)",4.031128874149275,6
8640,"(120, 176)",8466,"(176, 144)",64.4980619863884,174,8650,"(120.0, 170.0)",6.0,10
8814,"(176, 272)",8640,"(120, 176)",111.13955191559845,174,8830,"(189.5, 275.5)",13.946325680981353,16
9686,"(240, 272)",9511.674418604653,"(176, 272)",64.0,174.3255813953474,9672,"(227.0, 273.5)",13.0862523283024,-14
9861,"(304, 272)",9686,"(240, 272)",64.0,175,9862,"(304.5, 274.0)",2.0615528128088303,1
10035,"(368, 272)",9861,"(304, 272)",64.0,174,10042,"(382.5, 275.5)",14.916433890176297,7
10210,"(288, 192)",10035,"(368, 272)",113.13708498984761,175,10208,"(289.5, 196.5)",4.743416490252569,-2
11082,"(224, 192)",10907.674418604653,"(288, 192)",64.0,174.3255813953474,11072,"(227.5, 189.0)",4.6097722286464435,-10
11257,"(160, 192)",11082,"(224, 192)",64.0,175,11261,"(155.5, 192.0)",4.5,4
11431,"(96, 192)",11257,"(160, 192)",64.0,174,11423,"(95.5, 205.5)",13.509256086106296,-8
11605,"(152, 96)",11431,"(96, 192)",111.13955191559845,174,11602,"(141.0, 104.5)",13.901438774457844,-3
11954,"(272, 56)",11605,"(152, 96)",126.49110640673518,349,11956,"(262.0, 58.0)",10.19803902718557,2
12303,"(304, 176)",11954,"(272, 56)",124.1933975700802,349,12318,"(300.0, 170.5)",6.800735254367722,15
12652,"(184, 216)",12303,"(304, 176)",126.49110640673518,349,12652,"(172.0, 205.0)",16.278820596099706,0
13000,"(392, 336)",12652,"(184, 216)",240.13329631685812,348,13002,"(393.5, 334.0)",2.5,2
13349,"(272, 296)",13000,"(392, 336)",126.49110640673518,349,13353,"(280.5, 310.5)",16.80773631397161,4
13698,"(304, 176)",13349,"(272, 296)",124.1933975700802,349,13701,"(296.0, 182.5)",10.307764064044152,3
14047,"(424, 216)",13698,"(304, 176)",126.49110640673518,349,14046,"(413.5, 213.0)",10.920164833920778,-1
14396,"(224, 32)",14047,"(424, 216)",271.7646040234085,349,14408,"(222.5, 43.5)",11.597413504743201,12
14744,"(304, 176)",14396,"(224, 32)",164.730082255792,348,14752,"(307.0, 176.0)",3.0,8
15093,"(160, 256)",14744,"(304, 176)",164.730082255792,349,15100,"(161.0, 261.5)",5.590169943749474,7
15441,"(80, 112)",15093,"(160, 256)",164.730082255792,348,15451,"(76.0, 113.5)",4.272001872658765,10
15791,"(160, 256)",15441,"(80, 112)",164.730082255792,350,15783,"(152.0, 255.5)",8.0156097709407,-8
16139,"(240, 112)",15791,"(160, 256)",164.730082255792,348,16146,"(230.5, 111.5)",9.513148795220223,7
16488,"(384, 192)",16139,"(240, 112)",164.730082255792,349,16502,"(387.5, 190.0)",4.031128874149275,14
16836,"(304, 336)",16488,"(384, 192)",164.730082255792,348,16850,"(310.0, 331.0)",7.810249675906656,14
17186,"(80, 128)",16836,"(304, 336)",305.6795707926848,350,17180,"(88.5, 132.5)",9.617692030835672,-6
